Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementPresent(findTestObject(""Checkout/Page Checkout/iframe_Credit Card""), 10)",Firefox 151.0.1,,,26-05-2026 14:44:27,26-05-2026 14:44:32,4.587s,PASSED
"click(findTestObject(""Checkout/Page Checkout/iframe_Credit Card""), STOP_ON_FAILURE)",Firefox 151.0.1,,,26-05-2026 14:44:32,26-05-2026 14:44:33,0.991s,PASSED
delay(10),Firefox 151.0.1,,,26-05-2026 14:44:33,26-05-2026 14:44:43,10.005s,PASSED
"setText(findTestObject(""Checkout/Page Checkout/field_cardNumber""), ""5156 8399 3770 6777"")",Firefox 151.0.1,,,26-05-2026 14:44:43,26-05-2026 14:44:43,0.352s,PASSED
"setText(findTestObject(""Checkout/Page Checkout/field_cardExp""), ""01/30"")",Firefox 151.0.1,,,26-05-2026 14:44:43,26-05-2026 14:44:43,0.301s,PASSED
"setText(findTestObject(""Checkout/Page Checkout/field_cvv2""), ""993"")",Firefox 151.0.1,,,26-05-2026 14:44:43,26-05-2026 14:44:44,0.300s,PASSED
"click(findTestObject(""Checkout/Order Summary/btn-closed-pay""))",Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.276s,PASSED
waitForAlert(10),Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.008s,PASSED
alertText = getAlertText(),Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.007s,PASSED
comment(alertText),Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.003s,PASSED
acceptAlert(),Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.026s,PASSED
"waitForElementVisible(findTestObject(""Checkout/Track Order/track your order""), 7)",Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:44,0.221s,PASSED
"click(findTestObject(""Checkout/Track Order/track your order""))",Firefox 151.0.1,,,26-05-2026 14:44:44,26-05-2026 14:44:45,0.937s,PASSED
"click(findTestObject(""Checkout/Track Order/sp-order-list-item""))",Firefox 151.0.1,,,26-05-2026 14:44:45,26-05-2026 14:44:46,0.907s,PASSED
"scrollToElement(findTestObject(""Checkout/Track Order/btn-cencel""), 10)",Firefox 151.0.1,,,26-05-2026 14:44:46,26-05-2026 14:44:47,1.024s,PASSED
"click(findTestObject(""Checkout/Track Order/btn-cencel""))",Firefox 151.0.1,,,26-05-2026 14:44:47,26-05-2026 14:44:47,0.308s,PASSED
"waitForElementVisible(findTestObject(""Checkout/Track Order/button_OK""), 7)",Firefox 151.0.1,,,26-05-2026 14:44:47,26-05-2026 14:44:48,0.435s,PASSED
"click(findTestObject(""Checkout/Track Order/button_OK""))",Firefox 151.0.1,,,26-05-2026 14:44:48,26-05-2026 14:44:48,0.287s,PASSED
"waitForElementVisible(findTestObject(""Checkout/Track Order/Message_Success""), 10)",Firefox 151.0.1,,,26-05-2026 14:44:48,26-05-2026 14:44:49,0.835s,PASSED
"verifyElementVisible(findTestObject(""Checkout/Track Order/Message_Success""))",Firefox 151.0.1,,,26-05-2026 14:44:49,26-05-2026 14:44:49,0.227s,PASSED
