Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 mini""))",Firefox 151.0.1,,,18-06-2026 09:47:33,18-06-2026 09:47:34,0.394s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:34,18-06-2026 09:47:34,0.627s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:34,18-06-2026 09:47:36,1.682s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 12""))",Firefox 151.0.1,,,18-06-2026 09:47:36,18-06-2026 09:47:36,0.428s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:36,18-06-2026 09:47:37,0.601s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:37,18-06-2026 09:47:39,1.470s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 11""))",Firefox 151.0.1,,,18-06-2026 09:47:39,18-06-2026 09:47:39,0.477s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:39,18-06-2026 09:47:40,0.596s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:40,18-06-2026 09:47:41,1.459s,PASSED
"click(findTestObject(""WEB/Home Page/Page Ipad/sub-menu-iPad pro""))",Firefox 151.0.1,,,18-06-2026 09:47:41,18-06-2026 09:47:41,0.395s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:41,18-06-2026 09:47:42,0.612s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:42,18-06-2026 09:47:44,1.483s,PASSED
"click(findTestObject(""WEB/Home Page/Page Ipad/sub-menu-iPad Air""))",Firefox 151.0.1,,,18-06-2026 09:47:44,18-06-2026 09:47:44,0.396s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:44,18-06-2026 09:47:45,0.598s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:45,18-06-2026 09:47:46,1.508s,PASSED
"click(findTestObject(""WEB/Home Page/Page Ipad/sub-menu-iPad mini""))",Firefox 151.0.1,,,18-06-2026 09:47:46,18-06-2026 09:47:46,0.374s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:46,18-06-2026 09:47:47,0.594s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Ipad/menu-ipad""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:47,18-06-2026 09:47:49,1.500s,PASSED
"click(findTestObject(""WEB/Home Page/Page Ipad/sub-menu-iPad (Gen 10th)""))",Firefox 151.0.1,,,18-06-2026 09:47:49,18-06-2026 09:47:49,0.420s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Apple Watch/menu-Apple Watch""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:49,18-06-2026 09:47:50,0.684s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Apple Watch/menu-Apple Watch""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:50,18-06-2026 09:47:51,1.083s,PASSED
"click(findTestObject(""WEB/Home Page/Page Apple Watch/sub-menu-Apple Watch 7""))",Firefox 151.0.1,,,18-06-2026 09:47:51,18-06-2026 09:47:51,0.398s,PASSED
